PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
10107,20070103,MSFT,MICROSOFT CORP,29.86000,0.000000,1
10107,20070104,MSFT,MICROSOFT CORP,29.81000,-0.001675,1
10107,20070105,MSFT,MICROSOFT CORP,29.64000,-0.005703,1
10107,20070108,MSFT,MICROSOFT CORP,29.93000,0.009784,1
10107,20070109,MSFT,MICROSOFT CORP,29.96000,0.001002,1
10107,20070110,MSFT,MICROSOFT CORP,29.66000,-0.010013,1
10107,20070111,MSFT,MICROSOFT CORP,30.70000,0.035064,1
10107,20070112,MSFT,MICROSOFT CORP,31.21000,0.016612,1
10107,20070116,MSFT,MICROSOFT CORP,31.16000,-0.001602,1
10107,20070117,MSFT,MICROSOFT CORP,31.10000,-0.001926,1
10107,20070118,MSFT,MICROSOFT CORP,31.00000,-0.003215,1
10107,20070119,MSFT,MICROSOFT CORP,31.11000,0.003548,1
10107,20070122,MSFT,MICROSOFT CORP,30.72000,-0.012536,1
10107,20070123,MSFT,MICROSOFT CORP,30.74000,0.000651,1
10107,20070124,MSFT,MICROSOFT CORP,31.09000,0.011386,1
10107,20070125,MSFT,MICROSOFT CORP,30.45000,-0.020585,1
10107,20070126,MSFT,MICROSOFT CORP,30.60000,0.004926,1
10107,20070129,MSFT,MICROSOFT CORP,30.53000,-0.002288,1
10107,20070130,MSFT,MICROSOFT CORP,30.48000,-0.001638,1
10107,20070131,MSFT,MICROSOFT CORP,30.86000,0.012467,1
10107,20070201,MSFT,MICROSOFT CORP,30.56000,-0.009721,1
10107,20070202,MSFT,MICROSOFT CORP,30.19000,-0.012107,1
10107,20070205,MSFT,MICROSOFT CORP,29.61000,-0.019212,1
10107,20070206,MSFT,MICROSOFT CORP,29.51000,-0.003377,1
10107,20070207,MSFT,MICROSOFT CORP,29.37000,-0.004744,1
10107,20070208,MSFT,MICROSOFT CORP,29.26000,-0.003745,1
10107,20070209,MSFT,MICROSOFT CORP,28.98000,-0.009569,1
10107,20070212,MSFT,MICROSOFT CORP,28.94000,-0.001380,1
10107,20070213,MSFT,MICROSOFT CORP,29.03000,0.006565,1
10107,20070214,MSFT,MICROSOFT CORP,29.40000,0.012745,1
10107,20070215,MSFT,MICROSOFT CORP,29.46000,0.002041,1
10107,20070216,MSFT,MICROSOFT CORP,28.74000,-0.024440,1
10107,20070220,MSFT,MICROSOFT CORP,28.83000,0.003132,1
10107,20070221,MSFT,MICROSOFT CORP,29.35000,0.018037,1
10107,20070222,MSFT,MICROSOFT CORP,29.39000,0.001363,1
10107,20070223,MSFT,MICROSOFT CORP,28.90000,-0.016672,1
10107,20070226,MSFT,MICROSOFT CORP,29.07000,0.005882,1
10107,20070227,MSFT,MICROSOFT CORP,27.87000,-0.041280,1
10107,20070228,MSFT,MICROSOFT CORP,28.17000,0.010764,1
